,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
25270,200,0.3,3.5,0.2,50,43.0,19.96944,6.994110000000001,99.92392,94.5,20.0,7.0,100.0,0.09187000000000001
25271,1000,0.9,1.0,4.0,10,2000.0,19.98949,7.0936699999999995,89.793,0.0,20.00121,7.00018,99.99828000000001,5.96339
25272,1000,0.8,3.0,1.0,50,2000.0,20.70748,8.427610000000001,53.849030000000006,0.0,20.0,7.0,100.0,27.227759999999996
25273,100,0.5,2.0,2.5,10,2000.0,19.85504,6.85761,95.2532,5.0,20.00008,7.000430000000001,99.99938,3.04529
25274,100,0.9,3.0,3.0,10,2000.0,20.17809,7.11235,89.2328,0.0,20.00648,7.003839999999999,99.98935,6.91413
25275,200,0.1,5.0,2.0,50,2000.0,19.297810000000002,7.9218,65.78641999999999,0.5,20.0,7.0,100.0,18.5542
25276,200,0.3,2.0,0.5,2,72.0,20.00882,7.002389999999999,99.94994,94.0,20.0,7.0,100.0,0.08227999999999999
25277,70,0.4,2.5,3.0,5,2000.0,20.329539999999998,7.12425,96.5325,0.0,19.99823,6.996739999999999,99.99475,1.95315
25278,1000,0.8,3.5,3.5,50,2000.0,20.401229999999998,6.1332699999999996,53.43905,0.0,20.0069,6.98782,99.9802,27.615779999999997
25279,5,0.8,0.5,4.0,1,2000.0,19.584889999999998,6.853089999999999,98.92114000000001,0.0,20.00447,7.00033,99.99365999999999,0.58054
25280,200,0.5,2.5,3.0,1,2000.0,19.99305,7.01691,99.31443,19.0,20.0,7.0,100.0,0.40764
25281,2,0.1,5.0,0.2,50,66.0,-10.31596,7.800330000000001,57.11164,0.0,-10.300130000000001,7.71318,57.137280000000004,0.0886
25282,1000,0.1,0.2,2.0,50,1655.0,19.99897,7.00315,99.97983,99.0,20.0,7.0,100.0,0.09468
25283,70,0.3,1.0,2.0,1,132.0,19.97755,7.0163,99.9224,91.42857,20.0,7.0,100.0,0.08902
25284,10,0.8,0.5,4.0,10,2000.0,20.6979,6.98504,91.0778,0.0,20.04332,6.981389999999999,99.93332,5.3354800000000004
25285,2,0.7,1.0,2.0,1,83.0,-10.880419999999999,6.96887,56.32841,0.0,-10.87918,7.01485,56.33024,0.046
25286,2,1.0,3.0,4.0,50,2000.0,5.70466,10.14345,79.23215,0.0,19.97364,6.924939999999999,99.88749,11.30875
25287,100,1.0,1.0,3.0,2,2000.0,19.919729999999998,6.8848,97.40966999999999,7.0,20.000020000000003,6.99998,99.99995,1.59661
25288,2,0.4,3.0,5.0,10,2000.0,20.20477,7.15654,95.09096,0.0,20.03395,7.02818,99.93759,2.4557700000000002
25289,10,0.6,2.0,1.0,10,2000.0,19.79215,6.8380600000000005,99.24989000000001,40.0,20.0,7.0,100.0,0.5485300000000001
25290,10,0.8,1.0,2.5,2,2000.0,20.1624,6.97605,99.04469,20.0,20.002370000000003,7.0021,99.99552,0.54196
25291,1000,0.2,4.0,0.5,1,2000.0,20.002029999999998,6.969869999999999,99.32831,15.6,20.0,7.0,100.0,0.37351
25292,2,1.0,3.0,3.0,1,776.0,20.06666,6.952489999999999,99.83243,100.0,20.007939999999998,7.0061800000000005,99.98578,0.0827
25293,100,0.6,2.5,0.5,1,2000.0,20.01837,6.998139999999999,99.33440999999999,30.0,20.00003,7.00005,99.99991999999999,0.40523000000000003
25294,2,0.9,0.2,1.0,1,109.0,-11.00004,7.08255,56.15914,0.0,-11.00004,7.0060899999999995,56.159319999999994,0.058910000000000004
25295,70,0.5,1.0,2.5,50,2000.0,20.34044,8.34437,71.23656,1.4285700000000001,20.00131,7.00167,99.99699,17.231920000000002
25296,100,0.7,1.0,3.0,1,2000.0,20.0397,6.96713,99.05155,8.0,20.00055,7.0004100000000005,99.99903,0.56079
25297,70,0.4,3.5,4.0,2,2000.0,19.87645,6.848089999999999,98.41391,2.8571400000000002,19.99961,6.99798,99.99709,0.8705700000000001
25298,70,0.2,3.0,1.0,1,2000.0,19.95814,7.05055,99.68964,64.28571,20.0,7.0,100.0,0.22828
25299,100,0.7,3.0,2.0,10,2000.0,20.16743,7.04815,90.98727,0.0,20.001360000000002,6.993710000000001,99.99091,5.50237
25300,70,0.3,5.0,2.5,2,2000.0,20.11876,6.984310000000001,98.52556,0.0,20.00007,6.99994,99.99986,0.80288
25301,2,0.6,3.0,1.0,1,81.0,-11.0,7.24878,56.15795,0.0,-11.0,7.224,56.15823,0.02478
25302,1000,0.7,1.0,5.0,10,2000.0,20.242060000000002,6.9835899999999995,90.62435,0.1,20.0,7.0,100.0,5.27954
25303,200,0.8,0.5,5.0,2,2000.0,20.081889999999998,6.97467,97.75874,1.5,20.000429999999998,6.99971,99.99927,1.2796
25304,2,0.8,5.0,0.5,1,73.0,-10.99745,6.77837,56.16186,0.0,-10.99752,6.79675,56.16195,0.018369999999999997
25305,1000,0.8,2.5,3.5,50,2000.0,19.89079,7.61833,55.51138,0.0,20.00514,7.0033199999999995,99.99134000000001,27.04812
25306,200,0.4,3.0,2.5,2,2000.0,19.93909,7.00935,98.65304,6.5,20.0,7.0,100.0,0.77779
25307,200,0.6,4.0,3.0,2,2000.0,20.12371,7.00858,98.30753,3.5,19.99997,6.9992399999999995,99.99892,1.01003
25308,70,0.2,0.2,0.5,1,135.0,19.98348,6.9999899999999995,99.97648000000001,97.14286,20.0,7.0,100.0,0.06526
25309,200,0.2,2.5,0.2,10,49.0,19.963620000000002,6.989839999999999,99.90425,92.0,20.0,7.0,100.0,0.08988
25310,100,0.1,5.0,5.0,2,2000.0,19.86267,6.946060000000001,98.37733,0.0,20.002670000000002,7.00007,99.99622,0.8652700000000001
