,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
0,1000,0.6,5.0,3.0,10,2000.0,20.041829999999997,7.04701,46.24253,0.1,19.95649,6.98528,128.06668,4.90073
1,2,0.3,3.0,2.5,5,2000.0,-19.22438,-5.89105,71.96628,0.0,-20.00637,-6.997389999999999,73.99913000000001,1.5665799999999999
2,1000,0.6,0.2,0.5,5,389.0,19.95818,6.98234,127.9756,99.9,19.95514,6.98447,128.0667,0.08199
3,70,0.2,0.2,2.0,2,167.0,-20.00423,-6.98654,73.9668,0.0,-20.0,-7.0,74.00667,0.07983
4,100,0.7,0.2,2.5,1,2000.0,19.967979999999997,6.90915,122.26806,13.0,19.95544,6.984039999999999,128.0667,0.56317
5,200,0.5,4.0,1.0,5,2000.0,11.693760000000001,4.102119999999999,67.28687,1.5,19.95553,6.98505,128.0667,12.07545
6,100,0.7,5.0,1.0,50,2000.0,18.398870000000002,6.1313699999999995,25.13224,0.0,19.95714,6.98153,128.06656999999998,29.1871
7,30,1.0,0.5,0.2,5,2000.0,9.30317,1.8960599999999999,58.51741,0.0,19.9653,6.98027,128.06558,13.54972
8,1000,0.8,0.2,0.5,1,2000.0,18.45782,6.19332,115.31423999999998,84.1,19.95565,6.98463,128.0667,3.26445
9,30,0.4,0.5,0.5,2,2000.0,16.17202,5.854,110.34772,76.66666,19.95577,6.98417,128.0667,5.98909
10,100,0.5,3.0,0.2,1,2000.0,-5.77419,0.7378,82.04092,4.0,19.95543,6.984660000000001,128.0667,22.19003
11,2,0.3,5.0,1.0,2,79.0,-14.1362,-7.78775,68.88129,0.0,-14.164179999999998,-7.8715,68.88932,0.08596000000000001
12,1000,0.1,3.0,2.5,2,2000.0,15.52409,5.65461,101.81511,0.4,19.95401,6.9851399999999995,128.06667,7.03123
13,2,0.4,0.2,0.5,2,76.0,-18.71242,-12.51653,68.26093,0.0,-18.6989,-12.4525,68.32539,0.06544
14,30,0.8,2.5,0.2,10,2000.0,6.32843,2.52162,58.68461,0.0,19.95199,7.0022,128.06325,17.096989999999998
15,30,0.5,2.0,4.0,10,2000.0,19.8219,7.7454,55.85106999999999,0.0,19.95199,6.98095,128.06646999999998,4.13373
16,10,0.8,4.0,3.0,50,2000.0,37.05173,-1.61439,17.179489999999998,0.0,19.89986,7.0396,128.00766000000002,32.092729999999996
17,70,0.7,5.0,1.0,2,2000.0,3.9658300000000004,1.82587,83.41633,0.0,19.9559,6.98481,128.0667,16.50703
18,5,0.3,3.5,5.0,5,2000.0,-21.76576,-6.21393,70.00421,0.0,-19.98774,-6.99896,73.99618000000001,2.85685
19,100,0.6,0.5,5.0,1,2000.0,19.97997,6.88015,122.95621000000001,10.0,19.95639,6.9835899999999995,128.06668,0.5281100000000001
20,1000,0.8,3.0,2.5,10,2000.0,19.68551,6.86106,49.83502,0.2,19.956039999999998,6.98636,128.06665,5.19844
21,100,0.4,3.0,5.0,1,2000.0,14.25177,4.83137,90.68166,2.0,19.95565,6.98453,128.0667,6.8136
